"","","","","","","","","","-
6"
"","DEP","COM","VILLE","","","HOMMES","FEMMES","J.FILLES","TOTAL"
"","6 3","113","CL ERMONT","FERRANT","","1*","0*","0*","1*"
"","63","124","COURN-ON
D","AUVERGNE","","1*","0*","0»","1*"
"","","","","","","2 * *","0 * *","0 * *","2 * *"
"","66","136","PERPIGNAN","","","0*","0*","1*","il"
"","6 6","227","VILLENEUVE
DE","LA","RAH","1*","0 *","0 *","1 *"
"","","","","","","1**","0**","1**","2 * *"
"","67","046","BISCHWILLER","","","1*","0*","0*","1 *"
"","67","482","STRASBOURG","","","1*","0=:=","0*","1*"
"","","","","","","'*
""P.","0 * *","0 * *","2 * *"
"","68","058","BUHL","","","1*","o*","b*","i *"
"","68","224","MULHOUSE","","","0-","1*","0*","1*"
"","","","","","","","1**","0**","2**"
"","69","000","SA THONAY
CAMP","","","","0*","0-","1*"
"","69","081","ECULLY","","","","0*","0*","1*"
"","69","123","LYON","","","","0*","2 *","5*"
"","69","149","OULLIMS","","","","0*","0*","1*"
"","69","202","STE
FOY
LES","LYON","","","0 *","0 *","1 *"
"","69","204","ST
LAVAL
GENIS","","","","0-","0-","1-"
"","69","264","VIL L E FRANC HE","","","","0*","0*","1*"
"","","","","","","","0 * *","2 *","11 * *"
"","71","014","AUTUN","","","","0*","0*",""
"","","","","","","","","","3§"
"I","","","","","","","","",""
"[","","","","","","","","",""
"","71","270","MAÇON","","","","0*","0-1","3*"
"m»","71","275","MARCIGNY","","","","0*","0*","2*"
"","71","306","MONTCEAU
LES","MINES","","","0*","0-","1*"
"'","","","","","","","","",""
"","71","453","ST
MARTIN
DU","LAC","","","0 *","0 *","2 *"
"_1","","","","","","","0 * *","$**","11 *"
"","72","095","COULAINES","","","","0-","ol","1-"
"","72","154","LA
FLECHE","","","","0*","0-","1-"
"","72","181","LE
MANS","","","","0*","1 *","2 *"
"","72","302","ST
MARTIN
DES","MONTS","","","0-","0-","1*"
"","","","","","","","0 * *","1**","5 * *"
"","73","065","CHAMBERY","","","","0*","0*","1*"
"","","","","","","","0**","0 * *","1**"
"","74","012","ANNEMASSE","","","","0*","0*","1*"
"","","","","","","","0 * *","0 * *","1 '|£ 5':"
"","75","051","NEUILLY","","","1","0 *","0*","1*"
"","75","101","PARIS
1E","","","91","8 *","18 *","117 *"
"","7 5","102","2 E
PARIS","","","92","5*","9*","106*"
"","75","103","PARIS
3E","","","160","13*","14*","187*"
"","75","104","PARIS
4E","","","182","16*","32*","230*"
"","75","105","PARIS
5 E","","","346","31*","31*","428*"
"","75","106","6E
PARIS","","","258","31*","35*","324*"
